case_id,issue_type,market_place,resolution_time,response_quality,audit_flag
1111,Catalog,US,15,Positive,No
2265,Catalog,US,25,Negative,Yes
3684,Shipping,UK,10,Negative,No
4675,Payment,CA,30,Positive,Yes
54236,Payment,EG,18,Positive,No
6535,Returns,UK,20,Negative,Yes
8908,Shipping,UK,12,Positive,No
7856,Catalog,CA,22,Negative,Yes
4567,Payment,US,14,Negative,No
8696,Returns,US,28,Negative,Yes
6489,Shipping,EG,9,Positive,No
4688,Catalog,EG,26,Negative,Yes
4696,Catalog,UK,16,Positive,No
5435,Returns,US,24,Negative,Yes
5367,Shipping,EG,11,Positive,No
3675,Catalog,UK,27,Negative,Yes
3675,Payment,CA,13,Positive,No
7453,Returns,US,21,Negative,Yes
5784,Returns,UK,8,Negative,No
8454,Catalog,UK,29,Negative,Yes
6754,Payment,EG,17,Positive,No
9765,Returns,EG,23,Negative,Yes
3467,Shipping,US,10,Positive,No
9754,Catalog,UK,28,Positive,Yes
6437,Payment,CA,12,Positive,No
5454,Returns,CA,26,Negative,Yes
6796,Shipping,CA,9,Positive,No
4393,Catalog,EG,30,Negative,Yes
6768,Payment,UK,14,Positive,No
5354,Returns,CA,22,Negative,Yes
